ID^Name^Gender^Ancestry^Class^Subclass^Level^CR^Role^Faction^Region^Settlement^Disposition^AC^HP^Main_Attack^Attack_Bonus^Damage^Key_Spells^Constellation^Notable_Items^First_Met^Speech_Quirks
SL-00005^Yazneg Ferrow^Άνδρας^Orc^Cleric^-^1^1/8^Θελήματα^Drifters^The Drift^Dust Depot (SET-012)^Εχθρικός^16^11^Mace^+5^1d6+3 θλαστικό^Guiding Bolt; Healing Word; Cure Wounds; Shield of Faith^-^θυμιατό που δεν άναψε ποτέ; γυαλιά σφραγισμένα από τη σκόνη; όνομα γραμμένο σε χέρι και ξαναγραμμένο κάθε μέρα^Ξαναχαράζει έναν waypoint stone που κάποιος έχει επίτηδες σβήσει.^Μιλάει σε ενεστώτα για περασμένα γεγονότα· ένα αχνό στατικό κάτω από τις λέξεις.
SL-00095^Marrow Stell^Γυναίκα^Orc^Paladin^Oath of the Ancients^6^3^Φύλακας των τραγουδιών^Drifters^The Drift^Dust Depot (SET-012)^Φιλική^20^66^Greatsword (Divine Smite)^+7^2d6+4 + 2d8 radiant^Magic Weapon; Shield of Faith; Bless; Misty Step^-^γάντι που ανήκε σε κάποιον άλλο; έγγραφο διέλευσης υπογεγραμμένο από νεκρό; debt-token από τους Lifeweavers^Τσακώνεται για βάρη διοδίων με ένα καραβάνι που έχει ήδη ξεφορτώσει.^Γρήγορη, υπερδιεγερμένη ομιλία· διακόπτει τον εαυτό της με διορθώσεις και παρενθέσεις.
SL-00101^Delg Vane^Γυναίκα^Goliath^Rogue^Thief^10^5^Λοχίας περιμέτρου^Independent^The Drift^Dust Depot (SET-012)^Φιλική^15^81^Hand crossbow (Sneak Attack)^+9^1d6+5 + 5d6 διατρητικό^-^-^ζευγάρι μαυρισμένα shortswords; υπογεγραμμένο route-charter; λίστα με έξι ονόματα, τα τέσσερα διαγραμμένα^Τσακώνεται για βάρη διοδίων με ένα καραβάνι που έχει ήδη ξεφορτώσει.^Μεγάλες παύσεις πριν απαντήσει, σαν να επαληθεύει κάτι.
SL-00108^Torbera Dunwich^Γυναίκα^Dwarf^Cleric^Life Domain^10^6^Πράκτορας χαρτών^Independent^The Drift^Long Waystation (SET-002)^Ουδέτερη^18^87^Warhammer^+9^1d8+5 θλαστικό^Revivify; Bless; Spiritual Weapon; Aid^-^κομποσκοίνι με τέσσερις χάντρες να λείπουν; μπουκάλι με σκόνη δρόμου κατακαθισμένη σε νερό; μια χάρη που οφείλει κάποιος τον οποίο το party θα χρειαστεί^Περπατάει δίπλα στο κάρο αντί να καβαλήσει, για λόγους που δεν θα πει.^Αβίαστη και υπερβολικά ευγενικη· διατυπώνει κάθε απειλή ως ερώτηση.
SL-00115^Thokk Coldharbour^Άνδρας^Half-Orc^Fighter^-^2^1/4^Βοσκόπουλο^Drifters^The Drift^Pale Depot (SET-010)^Ουδέτερος^18^22^Halberd^+5^1d10+3 τέμνον^-^-^Thundermount crystalline longsword (+1); εφεδρική πλήμνη τροχού, λάθος μέγεθος; νόμισμα στραβωμένο από βολή που δεν αυτόν πέτυχε^Διαβάζει ένα route-charter ανάποδα και κάνει ότι δεν το κάνει.^Διακόπτει για να διορθώσει τακτικές λεπτομέρειες σε ιστορίες άλλων.
SL-00119^Israfel Wrenfield^Άνδρας^Aasimar^Cleric^-^2^1/4^Εκπαιδευόμενος scout^Independent^The Drift^Long Waystation (SET-002)^Ουδέτερος^18^15^Sacred Flame^+5^1d8+3 τέμνον^Shield of Faith; Cure Wounds; Bless; Guiding Bolt^-^κομποσκοίνι με τέσσερις χάντρες να λείπουν; εφεδρική πλήμνη τροχού, λάθος μέγεθος; εικόνα σε shard, ενός τόπου που κανείς δεν αναγνωρίζει^Διαβάζει ένα route-charter ανάποδα και κάνει ότι δεν το κάνει.^Ψιθυρίζει εξ ορισμού· η ένταση ανεβαίνει μόνο όταν φοβάται.
SL-00153^Rook Quill^Άνδρας^Human^Artificer^Armorer^6^3^Μηχανικός τείχους^The Otherside^The Drift^Dust Depot (SET-012)^Φιλικός^19^65^Thunder Gauntlets^+7^1d8+4 θλαστικό^Detect Magic; Catapult; Shield; Heat Metal^-^σχεδιάγραμμα σχολιασμένο από τρία διαφορετικά χέρια; κατάλογος κάθε waystation από εδώ ως την ακτή; σφραγισμένο φιαλίδιο με μόνο μια ημερομηνία^Κάθεται στη σκεπή ενός waystation κοιτώντας τον ορίζοντα προς τη λάθος κατεύθυνση.^Κοφτές καταφάσεις· χρόνια φωνάζοντας πάνω από τον άνεμο άφησαν τη φωνή του μόνιμα βραχνή.
SL-00155^Portia Harkaway^Γυναίκα^Halfling^Barbarian^-^2^1/4^Καθαριστής κόμβων^Guardians^The Drift^Dust Depot (SET-012)^Ουδέτερη^16^20^Handaxe pair^+5^1d6+3 τέμνον^-^-^επίδεσμοι γροθιάς σκληρυμένοι από παλιό αίμα; κατάλογος κάθε waystation από εδώ ως την ακτή; μια τούφα μαλλιά σε διπλωμένο χαρτί^Περπατάει δίπλα στο κάρο αντί να καβαλήσει, για λόγους που δεν θα πει.^Κλείνει κάθε πρόταση σαν να ζητάει άδεια.
SL-00158^Nyssa Southgate^Γυναίκα^Human^Cleric^Light Domain^10^6^Μεσάζων πληροφοριών^Drifters^The Drift^Far Post (SET-004)^Ουδέτερη^18^94^Warhammer^+9^1d8+5 θλαστικό^Dispel Magic; Guiding Bolt; Lesser Restoration; Mass Healing Word^-^warhammer με σφραγίδα Bastion; κλειδί waystation που δεν ανοίγει πια τίποτα; Guardian dog-tag που δεν είναι δικό της^Ανταλλάσσει νερό με πληροφορίες σε ξερή στάση, και χρεώνει επίτηδες λιγότερο.^Δεν μπορεί να πει αριθμό χωρίς να πει και τι αριθμεί.
SL-00161^Ivor Voss^Άνδρας^Half-Elf^Warlock^The Great Old One^5^3^Περιπολητής περιμέτρου^Drifters^The Drift^Long Waystation (SET-002)^Εχθρικός^14^52^Pact blade^+7^1d8+4 τέμνον^Hold Person; Hex; Shatter; Darkness^-^φανάρι από καπνισμένο γυαλί; κλειδί waystation που δεν ανοίγει πια τίποτα; πειθαρχική αναφορά, ανοιχτή ακόμα^Προσφέρεται να αγοράσει το νερό σας τρεις φορές πάνω από την αξία του.^Μιλάει σε δεύτερο πρόσωπο για τις δικές του εμπειρίες — «μαθαίνεις, μετά από λίγο».
SL-00171^Lys Kestrelmoor^Γυναίκα^Human^Druid^Circle of Stars^3^1/2^Παγιδευτής^Independent^The Drift^Long Waystation (SET-002)^Ουδέτερη^16^25^Starry Form (The Long Shot)^+5^1d8+3 radiant^Thunderwave; Faerie Fire; Goodberry; Entangle^The Drifter's Road^κέρατο ελαφιού σκαλισμένο με σεληνιακό ημερολόγιο; έγγραφο διέλευσης υπογεγραμμένο από νεκρό; σύμβολο ενός Circle που δεν συνεδριάζει πια^Ελέγχει κάθε βαρέλι μιας στοίβας πάνω σε λίστα και βρίσκει ένα παραπάνω.^Λέει «σωστά» μετά από κάθε πρόταση, και δεν ακούει τον εαυτό της να το κάνει.
SL-00176^Dell Umber^Άνδρας^Human^Warlock^-^1^1/8^Νερουλάς^Independent^The Drift^Low Crossing (SET-007)^Φιλικός^15^9^Eldritch Blast^+5^1 δέσμες, 1d10+3 force η καθεμία^Armor of Agathys; Charm Person; Dissonant Whispers; Arms of Hadar^-^περγαμηνή συμβολαίου με άθικτη σφραγίδα Lord; εφεδρική πλήμνη τροχού, λάθος μέγεθος; διαταγές που επέλεξε να μην ακολουθήσει^Ελέγχει κάθε βαρέλι μιας στοίβας πάνω σε λίστα και βρίσκει ένα παραπάνω.^Απαγγέλλει τιμές, βάρη και αποστάσεις με απόλυτη ακρίβεια και ξεχνάει ονόματα ακαριαία.
SL-00197^Immeral Coldharbour^Άνδρας^Elf^Fighter^Battle Master^9^5^Επιστάτης ανάσυρσης^Drifters^The Drift^Dust Depot (SET-012)^Ουδέτερος^18^103^Halberd^+9^1d10+5 τέμνον^-^-^βραχιόλι που σταματάει λεπίδα και το δείχνει; εφεδρική πλήμνη τροχού, λάθος μέγεθος; ένταλμα με τη δική του περιγραφή πάνω^Συνοδεύει ένα κάρο που δεν μεταφέρει απολύτως τίποτα.^Έχει μία ιστορία που τη λέει με κάθε ευκαιρία, και είναι διαφορετική ιστορία κάθε φορά.
SL-00207^Thessaly Ironmark^Γυναίκα^Elf^Fighter^Eldritch Knight^8^4^Ληστής^Guardians^The Drift^Long Waystation (SET-002)^Φιλική^19^84^Longbow^+7^1d8+4 διατρητικό^-^-^Guardian halberd; υπογεγραμμένο route-charter; ανοιχτό ποτέ γράμμα με παραλήπτη το party^Περπατάει δίπλα στο κάρο αντί να καβαλήσει, για λόγους που δεν θα πει.^Ψεύδισμα που έχει πάψει να κρύβει και δεν δέχεται πειράγματα γι' αυτό.
SL-00230^Vondar Draye^Άνδρας^Dwarf^Barbarian^Path of the Wild Heart^4^1^Μαθητευόμενος κηροπλάστη^The Otherside^The Drift^Long Waystation (SET-002)^Ουδέτερος^16^44^Handaxe pair^+5^1d6+3 τέμνον^-^-^δίχειρο maul με ξαναδεμένη λαβή; κλειδί waystation που δεν ανοίγει πια τίποτα; όνομα γραμμένο σε χέρι και ξαναγραμμένο κάθε μέρα^Υποστηρίζει ότι ο δρόμος μπροστά είναι ασφαλής ενώ ετοιμάζεται να πάει από την άλλη.^Μετράει ως το τρία ψιθυριστά πριν απαντήσει σε κάτι δύσκολο.
SL-00233^Halia Lindmark^Γυναίκα^Half-Elf^Barbarian^Path of the Wild Heart^10^5^Μάγειρας μονοπατιού^Drifters^The Drift^Long Waystation (SET-002)^Ουδέτερη^15^105^Maul^+9^2d6+5 θλαστικό^-^-^τσεκούρι με χαραγμένο όνομα στο στειλιάρι, όχι το δικό της; κατάλογος κάθε waystation από εδώ ως την ακτή; σύμβολο ενός Circle που δεν συνεδριάζει πια^Τσακώνεται για βάρη διοδίων με ένα καραβάνι που έχει ήδη ξεφορτώσει.^Δεν λέει ποτέ αντίο· οι κουβέντες απλώς σταματούν όταν το αποφασίσει.
SL-00237^Sylve Brack^Γυναίκα^Elf^Cleric^Light Domain^7^4^Μελετητής ουρανού^Drifters^The Drift^Far Crossing (SET-009)^Ουδέτερη^17^67^Mace^+7^1d6+4 θλαστικό^Spiritual Weapon; Healing Word; Silence; Bless^-^λίστα ονομάτων που διαβάζεται φωναχτά κάθε αυγή; μπουκάλι με σκόνη δρόμου κατακαθισμένη σε νερό; τίτλος ιδιοκτησίας για κτίριο που έχει κατεδαφιστεί^Σας διώχνει από ένα κομμάτι του δρόμου χωρίς να εξηγήσει τι υπάρχει πάνω του.^Σωπαίνει τελείως όταν λέει ψέματα, που είναι κακή τακτική.
SL-00238^Imogen Whitlock^Γυναίκα^Human^Wizard^School of Abjuration^5^3^Φύλακας του περάσματος^Independent^The Drift^Low Crossing (SET-007)^Φιλική^13^41^Ray of Frost^+7^2d8 cold^Detect Magic; Magic Missile; Shield; Sleep^-^γυάλινη ράβδος που βουίζει κοντά σε shields; μπουκάλι με σκόνη δρόμου κατακαθισμένη σε νερό; μια υπόσχεση, γραμμένη, με δύο μάρτυρες^Περπατάει δίπλα στο κάρο αντί να καβαλήσει, για λόγους που δεν θα πει.^Μιλάει για το μέλλον μόνο σε υποθετικό, ποτέ σε οριστική.
SL-00240^Thoradin Hollis^Άνδρας^Dwarf^Fighter^Psi Warrior^7^3^Φύλακας των τραγουδιών^Independent^The Drift^Dust Depot (SET-012)^Ουδέτερος^19^82^Longbow^+7^1d8+4 διατρητικό^-^-^κόρνα ρήγματος shield; κατάλογος κάθε waystation από εδώ ως την ακτή; οδηγίες για μια τελετή, σε μετάφραση, με το τελευταίο βήμα να λείπει^Μαγειρεύει για έντεκα ενώ έχουν μείνει τέσσερις.^Καθαρίζει τον λαιμό του πριν από κάθε άρνηση, που κάνει τις αρνήσεις ορατές από μακριά.
SL-00243^Rurik Pinfold^Άνδρας^Dwarf^Bard^College of Lore^5^3^Αξιωματικός σημάτων^Independent^The Drift^Dust Depot (SET-012)^Ουδέτερος^14^46^Shortsword^+7^1d6+4 διατρητικό^Healing Word; Bane; Charm Person; Faerie Fire^-^λαούτο με ασημένιες χορδές; τρία εφεδρικά shield cells; ένταλμα με τη δική του περιγραφή πάνω^Σέρνει σπασμένο άξονα από τον δρόμο μόνος επειδή το καραβάνι δεν περίμενε.^Ζητάει συγγνώμη πριν από κάθε πρόταση, ακόμα και πριν από τα καλά νέα.
SL-00253^Aukan Northwind^Άνδρας^Goliath^Rogue^-^2^1/4^Ο παράξενος του χωριού^Drifters^The Drift^Ash Depot (SET-005)^Ουδέτερος^15^13^Shortsword (Sneak Attack)^+5^1d6+3 + 1d6 διατρητικό^-^-^ζευγάρι μαυρισμένα shortswords; έγγραφο διέλευσης υπογεγραμμένο από νεκρό; απόδειξη θανάτου που δεν έχει συμβεί ακόμα^Διαβάζει ένα route-charter ανάποδα και κάνει ότι δεν το κάνει.^Απαντάει με παροιμίες, τις μισές από τις οποίες επινοεί.
SL-00260^Lys Rookhurst^Γυναίκα^Human^Wizard^School of Abjuration^9^6^Πράκτορας χαρτών^Independent^The Drift^Long Waystation (SET-002)^Εχθρική^12^70^Fire Bolt^+9^210 fire^Mirror Image; Hypnotic Pattern; Sleep; Fly^-^γυάλινη ράβδος που βουίζει κοντά σε shields; γυαλιά σφραγισμένα από τη σκόνη; μια χάρη που οφείλει κάποιος τον οποίο το party θα χρειαστεί^Μαγειρεύει για έντεκα ενώ έχουν μείνει τέσσερις.^Προφορά που κανείς δεν τοποθετεί, και δίνει διαφορετική καταγωγή κάθε φορά που ρωτιέται.
SL-00266^Tana Nettles^Γυναίκα^Gnome^Wizard^Order of Scribes^3^1/2^Φύλακας κελαριού^Drifters^The Drift^Nine Stop (SET-008)^Ουδέτερη^12^21^Ray of Frost^+5^1d8 cold^Magic Missile; Grease; Sleep; Detect Magic^-^spellbook με δικές του σημειώσεις; μπουκάλι με σκόνη δρόμου κατακαθισμένη σε νερό; μια υπόσχεση, γραμμένη, με δύο μάρτυρες^Κοιμάται πάνω στο μοναδικό κρεβάτι του waystation, με τις μπότες.^Κοφτές καταφάσεις· χρόνια φωνάζοντας πάνω από τον άνεμο άφησαν τη φωνή της μόνιμα βραχνή.
SL-00293^Zook Voss^Άνδρας^Gnome^Sorcerer^Aberrant Sorcery^7^4^Καπετάνιος route^Drifters^The Drift^Long Waystation (SET-002)^Φιλικός^12^57^Chromatic Orb^+7^2d8 lightning^Misty Step; Scorching Ray; Shatter; Mirror Image^-^γάντι που κρύβει χέρι που δεν φαίνεται πια σωστό; γυαλιά σφραγισμένα από τη σκόνη; πειθαρχική αναφορά, ανοιχτή ακόμα^Ξαναχαράζει έναν waypoint stone που κάποιος έχει επίτηδες σβήσει.^Ψεύδισμα που έχει πάψει να κρύβει και δεν δέχεται πειράγματα γι' αυτό.
SL-00300^Elienne Ambry^Γυναίκα^Half-Elf^Warlock^The Great Old One^19^14^Φρουρός του Reach^Drifters^The Drift^Ash Depot (SET-005)^Ουδέτερη^17^198^Pact blade^+11^1d8+5 τέμνον^Hold Person; Fear; Darkness; Invisibility^-^κλειδί που δεν ξεκλειδώνει τίποτα σε αυτόν τον κόσμο; γυαλιά σφραγισμένα από τη σκόνη; όνομα γραμμένο σε χέρι και ξαναγραμμένο κάθε μέρα^Υποστηρίζει ότι ο δρόμος μπροστά είναι ασφαλής ενώ ετοιμάζεται να πάει από την άλλη.^Βραχνιάζει μέσα σε μια ώρα κουβέντας και μοιράζει τις προτάσεις της ανάλογα.
SL-00302^Orias Oakhollow^Άνδρας^Tiefling^Rogue^Thief^5^2^Μεσάζων χρεών^Drifters^The Drift^Dust Depot (SET-012)^Ουδέτερος^15^39^Hand crossbow (Sneak Attack)^+7^1d6+4 + 3d6 διατρητικό^-^-^κόφτης τζαμιού και ένα κουβάρι σύρμα; γυαλιά σφραγισμένα από τη σκόνη; απλήρωτη επικήρυξη για τέρας ήδη νεκρό^Θάβει κάτι σε έναν route marker και σταματάει μόλις σας δει.^Μεγάλες παύσεις πριν απαντήσει, σαν να επαληθεύει κάτι.
SL-00323^Wendel Redgrave^Άνδρας^Human^Cleric^Light Domain^4^1^Περαματάρης^Independent^The Drift^Low Crossing (SET-007)^Εχθρικός^16^34^Mace^+5^1d6+3 θλαστικό^Shield of Faith; Guiding Bolt; Healing Word; Cure Wounds^-^ραγισμένο field-bowl (σύμβολο Mender's Bowl); έγγραφο διέλευσης υπογεγραμμένο από νεκρό; τίτλος ιδιοκτησίας για κτίριο που έχει κατεδαφιστεί^Διαβάζει ένα route-charter ανάποδα και κάνει ότι δεν το κάνει.^Γελάει πριν ανακοινώσει άσχημα νέα και δεν μπορεί να το σταματήσει.
SL-00330^Perrin Cobble^Άνδρας^Halfling^Ranger^Hunter^3^1/2^Βοηθός ταβέρνας^Drifters^The Drift^Grey Crossing (SET-006)^Ουδέτερος^15^25^Shortsword pair^+5^1d6+3 διατρητικό^Goodberry; Hunter's Mark; Ensnaring Strike; Cure Wounds^-^σφυρίχτρα κουρδισμένη για ένα μόνο ζώο; κατάλογος κάθε waystation από εδώ ως την ακτή; δαχτυλίδι πολύ μικρό για οποιονδήποτε γνωρίζει^Κοιμάται πάνω στο μοναδικό κρεβάτι του waystation, με τις μπότες.^Κρατάει κάθε πρόταση κάτω από έξι λέξεις, πειθαρχία που επέβαλε στον εαυτό του.
SL-00332^Cog^Άνδρας^Awakened Construct^Warlock^The Great Old One^8^5^Τεχνικός shield^Guardians^The Drift^Long Waystation (SET-002)^Φιλικός^15^79^Pact blade^+7^1d8+4 τέμνον^Arms of Hadar; Invisibility; Shatter; Dissonant Whispers^-^φανάρι από καπνισμένο γυαλί; έγγραφο διέλευσης υπογεγραμμένο από νεκρό; σπασμένη λεπίδα φυλαγμένη για την επιγραφή της^Ελέγχει κάθε βαρέλι μιας στοίβας πάνω σε λίστα και βρίσκει ένα παραπάνω.^Μιλάει στο έδαφος αντί για τα πρόσωπα, και σηκώνει βλέμμα μόνο όταν απειληθεί.
SL-00333^Vrell Stonebridge^Γυναίκα^Orc^Rogue^-^2^1/4^Νεοσύλλεκτος^Drifters^The Drift^Long Waystation (SET-002)^Ουδέτερη^15^15^Hand crossbow (Sneak Attack)^+5^1d6+3 + 1d6 διατρητικό^-^-^φλασκί λαδιού λάμπας χωρίς λάμπα; κατάλογος κάθε waystation από εδώ ως την ακτή; κομμάτι συμβολαίου με τρεις υπογραφές και κανέναν όρο^Παζαρεύει σκληρά για κάτι άχρηστο, προφανώς για την εξάσκηση.^Μιλάει όσο δουλεύει και κόβεται στη μέση όταν συγκεντρώνεται· δεν τελειώνει ποτέ αυτές τις προτάσεις.
SL-00364^Ozruk Ingram^Άνδρας^Half-Orc^Fighter^Battle Master^3^1/2^Επισκευαστής φραχτών^The Otherside^The Drift^Long Waystation (SET-002)^Ουδέτερος^19^33^Longbow^+5^1d8+3 διατρητικό^-^-^Guardian lance; μπουκάλι με σκόνη δρόμου κατακαθισμένη σε νερό; απόδειξη θανάτου που δεν έχει συμβεί ακόμα^Ανταλλάσσει νερό με πληροφορίες σε ξερή στάση, και χρεώνει επίτηδες λιγότερο.^Απαντάει επαναλαμβάνοντας την ερώτηση, για να κερδίσει χρόνο.
